Report Key,Report Entry Expense Type Name,Amount in EUR,Report Start Date,Report End Date,Report Home Country Name,Report Country
TRIP_0001,TAXI,94.0,20231117,20231126,MA,IN
TRIP_0001,CONFERENCE FEE,205.88,20231117,20231126,MA,IN
TRIP_0001,CONFERENCE FEE,99.62,20231117,20231126,MA,IN
TRIP_0002,MEAL,211.51,20240112,20240120,KZ,SK
TRIP_0002,HOTEL,1267.94,20240112,20240120,KZ,SK
TRIP_0002,MISC,223.95,20240112,20240120,KZ,SK
TRIP_0002,TAXI,30.37,20240112,20240120,KZ,SK
TRIP_0002,CONFERENCE FEE,119.93,20240112,20240120,KZ,SK
TRIP_0002,AIR TICKET,806.99,20240112,20240120,KZ,SK
TRIP_0002,DAILY ALLOWANCE,886.85,20240112,20240120,KZ,SK
TRIP_0002,MISC,25.24,20240112,20240120,KZ,SK
TRIP_0003,CONFERENCE FEE,144.21,20230102,20230112,LU,BE
TRIP_0003,MISC,147.96,20230102,20230112,LU,BE
TRIP_0003,AIR TICKET,714.43,20230102,20230112,LU,BE
TRIP_0003,CONFERENCE FEE,33.4,20230102,20230112,LU,BE
TRIP_0003,DAILY ALLOWANCE,428.65,20230102,20230112,LU,BE
TRIP_0003,CONFERENCE FEE,188.87,20230102,20230112,LU,BE
TRIP_0004,MEAL,73.14,20221002,20221006,VN,BR
TRIP_0004,TAXI,226.98,20221002,20221006,VN,BR
TRIP_0004,MISC,244.57,20221002,20221006,VN,BR
TRIP_0004,AIR TICKET,938.67,20221002,20221006,VN,BR
TRIP_0005,MISC,214.42,20231108,20231113,FR,EC
TRIP_0005,TAXI,239.34,20231108,20231113,FR,EC
TRIP_0005,TAXI,42.34,20231108,20231113,FR,EC
TRIP_0005,CONFERENCE FEE,89.01,20231108,20231113,FR,EC
TRIP_0005,TAXI,104.13,20231108,20231113,FR,EC
TRIP_0005,CONFERENCE FEE,51.6,20231108,20231113,FR,EC
TRIP_0005,HOTEL,849.63,20231108,20231113,FR,EC
TRIP_0006,MISC,110.06,20230517,20230528,KR,ID
TRIP_0006,MEAL,177.89,20230517,20230528,KR,ID
TRIP_0006,AIR TICKET,808.15,20230517,20230528,KR,ID
TRIP_0006,TAXI,64.94,20230517,20230528,KR,ID
TRIP_0006,DAILY ALLOWANCE,637.88,20230517,20230528,KR,ID
TRIP_0007,CONFERENCE FEE,238.84,20240525,20240601,KE,AT
TRIP_0007,CONFERENCE FEE,98.1,20240525,20240601,KE,AT
TRIP_0007,TAXI,53.73,20240525,20240601,KE,AT
TRIP_0007,MEAL,134.59,20240525,20240601,KE,AT
TRIP_0007,TAXI,56.63,20240525,20240601,KE,AT
TRIP_0007,TAXI,32.66,20240525,20240601,KE,AT
TRIP_0007,TAXI,221.3,20240525,20240601,KE,AT
TRIP_0007,CONFERENCE FEE,73.68,20240525,20240601,KE,AT
TRIP_0008,DAILY ALLOWANCE,269.02,20240613,20240616,MY,BR
TRIP_0008,HOTEL,647.78,20240613,20240616,MY,BR
TRIP_0008,HOTEL,694.24,20240613,20240616,MY,BR
TRIP_0008,CONFERENCE FEE,226.17,20240613,20240616,MY,BR
TRIP_0009,AIR TICKET,1307.11,20221203,20221211,NL,RS
TRIP_0009,MISC,234.29,20221203,20221211,NL,RS
TRIP_0009,DAILY ALLOWANCE,639.19,20221203,20221211,NL,RS
TRIP_0009,MISC,20.72,20221203,20221211,NL,RS
TRIP_0010,MISC,149.68,20220225,20220301,SA,JP
TRIP_0010,CONFERENCE FEE,78.51,20220225,20220301,SA,JP
TRIP_0010,AIR TICKET,923.03,20220225,20220301,SA,JP
TRIP_0010,DAILY ALLOWANCE,325.75,20220225,20220301,SA,JP
TRIP_0011,CONFERENCE FEE,173.62,20240121,20240126,MY,BH
TRIP_0011,MEAL,46.78,20240121,20240126,MY,BH
TRIP_0011,DAILY ALLOWANCE,335.25,20240121,20240126,MY,BH
TRIP_0011,MISC,116.25,20240121,20240126,MY,BH
TRIP_0011,MISC,199.88,20240121,20240126,MY,BH
TRIP_0012,HOTEL,432.24,20230423,20230426,CN,RS
TRIP_0012,TAXI,61.13,20230423,20230426,CN,RS
TRIP_0012,MISC,72.13,20230423,20230426,CN,RS
TRIP_0012,CONFERENCE FEE,107.21,20230423,20230426,CN,RS
TRIP_0013,HOTEL,322.25,20230409,20230411,FI,LU
TRIP_0013,CONFERENCE FEE,110.95,20230409,20230411,FI,LU
TRIP_0013,MEAL,50.14,20230409,20230411,FI,LU
TRIP_0014,TAXI,151.16,20220110,20220116,OM,BG
TRIP_0014,AIR TICKET,842.43,20220110,20220116,OM,BG
TRIP_0014,MEAL,47.56,20220110,20220116,OM,BG
TRIP_0014,TAXI,210.04,20220110,20220116,OM,BG
